"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006260","GO:0006260","DNA replication","123/2197","278/18888",0.442446043165468,3.8037873751977,17.0863629454157,2.8692015381215e-43,6.87515339991779e-41,5.89948105733051e-41,"86/93973/79915/545/580/675/10498/890/993/998/8318/990/8317/983/1017/1025/81620/10036/8208/1111/51550/10926/1663/1660/9093/29980/51514/1854/10919/2021/57697/26271/2237/9837/51659/64785/84296/83743/23560/3159/54617/83444/11143/22944/55388/4171/4172/4173/4174/4175/4176/79892/10445/64769/253714/4678/64318/4998/23595/5000/5001/23594/5111/11284/5422/23649/5424/5425/10714/5426/5427/5442/5515/5518/5557/5763/5884/5888/5928/5930/5932/5980/5981/5982/5983/5984/5985/55159/80010/116028/6117/6118/6119/6240/51750/51507/8607/10856/163859/25942/8467/9126/6749/11198/7013/90381/8914/54962/4796/7150/11073/10293/7270/51377/5976/57695/23063/11169/57418/7465/7528/91603/8882",123
"GO:0006354","GO:0006354","DNA-templated transcription elongation","82/2197","135/18888",0.607407407407407,5.2219895817529,17.8609273837794,1.59544365718085e-42,3.64921476497001e-40,3.1313444410315e-40,"23476/8812/79577/51755/1025/9150/9646/55837/8178/22936/6923/55250/26610/56943/100170841/2068/2071/2962/2963/10614/3192/26173/54973/57117/57508/65123/92105/80789/26512/25896/55656/55756/11143/5469/84246/400569/9282/9440/54797/9477/9412/6837/9441/9442/80306/55588/90390/51003/29079/10001/9443/112950/55090/4686/22916/7469/25920/51497/7936/54623/55795/51082/64425/221830/5434/5438/165918/9025/23168/9733/80349/11198/6827/6829/6830/10915/79736/9984/8563/7428/23160/80335",82
"GO:0140053","GO:0140053","mitochondrial gene expression","88/2197","164/18888",0.536585365853659,4.61311988631948,16.8601067448115,1.53096318047304e-39,3.2099194683918e-37,2.75439077469315e-37,"57505/54998/708/118487/28958/7818/60528/2617/3035/3028/55699/10128/84769/124995/65003/64928/54948/63875/9801/219927/6150/79590/51264/10573/64983/64981/51318/64979/51253/64978/51073/64975/28977/84545/84311/26589/57129/51642/740/54534/116540/128308/78988/3396/65005/55173/64963/6183/63931/64960/51021/51373/55168/28973/54460/56945/51649/64951/64432/23107/28957/65993/60488/64969/51081/26164/4528/25821/55149/54516/4701/87178/5442/9692/26024/55037/55278/54938/6832/79736/7019/64216/54931/57570/51095/7284/10352/51067",88
"GO:0006399","GO:0006399","tRNA metabolic process","96/2197","202/18888",0.475247524752475,4.08578755007954,15.9970121633234,3.40486240417527e-37,6.34565467326294e-35,5.44512498320739e-35,"16/57505/113179/2972/79074/833/10978/348180/1615/285381/60528/8518/55250/55140/26610/23587/54859/2058/5394/23404/51010/23016/11340/5393/2193/10056/2617/2975/2976/9330/9329/9328/3035/3028/3376/55699/3735/112970/8270/51520/11157/4141/92935/27304/123263/25821/4677/55226/55644/25973/87178/5434/5435/5441/11128/55718/10940/10775/51367/10248/9692/26024/5859/55278/5917/11102/79897/138716/10556/10557/10799/51493/51637/6301/54938/6741/6897/54974/112858/51002/54931/51504/57570/51095/80746/79042/283989/81605/7407/57176/7453/10352/8565/51067/79693/339487",96
"GO:0051168","GO:0051168","nuclear export","87/2197","171/18888",0.508771929824561,4.37400282682126,16.0798027576653,1.00094431595205e-36,1.73681096478301e-34,1.49033523921427e-34,"6059/10189/10541/580/22794/131474/11052/1434/7919/1660/1959/9775/1977/3692/56943/2733/3178/3313/55341/84946/4116/8888/4193/23195/4686/22916/51068/65083/161424/4869/55051/57122/55746/9972/9631/23279/8021/23636/79902/4927/9688/4928/10204/10482/29107/8106/55795/51808/9883/100101267/5566/5781/8480/5901/5903/5905/55696/9939/55781/6209/84324/55153/23049/23381/23293/9887/6428/6741/55437/6830/9984/57187/84321/8563/79228/80145/7175/7295/7329/5976/26019/65125/7514/57510/11260/91746/7531",87
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","147/2197","451/18888",0.325942350332594,2.80218439375605,14.0539274636541,4.73698952193293e-33,6.62125868732403e-31,5.68161725700844e-31,"84142/60/86/64682/51529/25906/29882/29945/51433/54443/196528/10776/79915/6790/9212/580/332/23476/699/701/9184/890/891/595/902/8881/991/8697/993/996/990/8317/79577/113130/55143/983/1017/1019/80279/1022/1062/1111/27243/128866/91782/1164/63967/51692/9150/8454/8452/10926/1642/1654/1785/29980/5977/51514/11319/1977/1981/2029/2068/2071/9700/26271/2935/25988/3550/3619/54617/65123/79831/9928/57082/84967/134353/4085/9587/10459/84930/255374/8720/4193/56257/4331/27085/4609/8883/10403/29997/286053/83540/4998/55795/11331/9088/5347/5356/5426/5515/56984/5884/5885/5889/5932/1104/55159/60561/55781/6118/6152/6154/6198/57521/6240/6241/163786/163859/25942/6502/6598/6605/23137/147841/57405/54908/6491/25949/10460/6881/6873/7027/90381/11073/7175/51499/7272/11065/27338/57695/51322/7465/7517/7756/91603/11130",147
"GO:0006352","GO:0006352","DNA-templated transcription initiation","87/2197","189/18888",0.46031746031746,3.95743112902876,14.8248972211491,1.69356037724726e-32,2.30324211305627e-30,1.97638255120007e-30,"9070/9774/55814/2972/55290/902/1019/1022/1025/27297/170506/84661/1810/6923/6921/2071/2957/2958/2959/2960/2961/2962/2963/2975/9329/9328/11143/84148/5469/84246/400569/9282/9440/54797/9477/9412/6837/9441/9442/80306/55588/90390/51003/29079/10001/9443/112950/55090/4609/23054/26155/55795/64425/221830/5433/5436/5438/171568/5442/5706/5929/10432/54700/112869/8467/6598/10302/6722/6872/6881/6883/6884/9014/9013/6873/6877/6878/6879/129685/6908/7019/64216/51504/7343/6944/11091/10467",87
"GO:0065004","GO:0065004","protein-DNA complex assembly","97/2197","240/18888",0.404166666666667,3.47469276285844,13.9980041811077,1.90471387177247e-30,2.1783000460816e-28,1.86917136411738e-28,"10541/55814/2972/55290/8318/81620/1058/1060/1062/64946/2491/64105/55839/80152/387103/10036/8208/23234/1810/83743/2957/2958/2959/3006/3014/8970/8341/8348/8347/8344/8339/8345/8290/8354/653604/8351/8355/8359/8367/8369/8294/7290/55355/4171/5469/84246/400569/9282/9440/54797/9477/9412/6837/9441/9442/80306/55588/90390/51003/29079/10001/9443/112950/55090/79003/54069/4678/4869/11339/64425/5706/5888/5889/5928/6047/54700/9733/26054/8467/6598/6749/10910/11198/6872/6881/6883/6884/9014/9013/6873/6877/6878/6879/129685/6908/7013/7343",97
"GO:0031123","GO:0031123","RNA 3'-end processing","60/2197","103/18888",0.58252427184466,5.00806483686934,14.7980023184586,5.11974059366833e-30,5.72500770385312e-28,4.91255576964386e-28,"580/79577/1025/10978/29894/53981/51692/11052/1477/1479/170506/1736/60528/5394/23404/51010/54512/56915/118460/23016/11340/5393/2091/3028/26173/57117/57508/80789/26512/25896/55656/55756/79727/84967/134353/255374/55149/4686/22916/11051/26986/54623/51585/87178/5433/26024/23248/6227/7884/6741/29101/6832/8189/54931/51095/64852/25962/55339/91746/23144",60
"GO:0007051","GO:0007051","spindle organization","84/2197","197/18888",0.426395939086294,3.66580177399269,13.6458325290569,1.73659238431121e-28,1.82052768288626e-26,1.56217148255364e-26,"84142/6790/9212/56647/332/79866/891/991/55143/1062/64946/55125/27243/51652/128866/79643/91782/9793/1213/10540/10671/1642/1778/9700/26271/2959/115106/55142/79441/54930/23354/54801/55559/93323/8841/3192/3619/54617/3832/9493/24137/3837/26065/4627/440145/10403/10726/83540/4926/23636/5347/5518/9055/5524/29127/8480/5901/1104/6047/6188/163786/51119/26054/8243/9126/10615/57405/6491/10910/10460/6905/7175/22974/7272/203068/7283/27175/10844/10426/27229/114791/85378/7415/7756",84
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","129/2197","413/18888",0.312348668280872,2.68531708989035,12.5637639178493,4.12213713789743e-27,4.23318246487752e-25,3.63243964332014e-25,"84142/29777/71/54443/6790/9212/56647/332/23246/55299/708/991/55143/1017/1058/1060/1062/64946/64105/80152/387103/55125/27243/51652/128866/79643/91782/23019/4848/29883/1642/1654/1656/22907/57647/1778/79631/1964/1965/1983/9669/3692/26271/2959/115106/55142/79441/54930/23354/54801/55559/93323/8841/3192/3619/54617/2648/3832/9493/24137/3837/3856/26065/27258/25804/23195/79003/84769/51081/440145/10403/51388/54475/4839/29997/4869/4926/23636/23761/5347/10733/56342/9055/5822/29127/10432/1104/6047/84154/6134/6135/6147/6169/6125/6128/6175/6208/6209/6223/6228/6188/6193/3921/27341/23212/163786/51119/26054/8243/9126/10615/6722/6491/10910/7175/22974/4591/203068/10844/10426/27229/114791/85378/9898/9100/9948/65125/7520/7756",129
"GO:0051304","GO:0051304","chromosome separation","50/2197","81/18888",0.617283950617284,5.30689998145619,14.0929812307644,6.85926717421175e-27,6.9031664841267e-25,5.92351872602455e-25,"51529/25906/51433/9212/332/699/701/9184/891/8881/991/8697/55143/338657/8452/9700/26271/3550/3619/57082/4085/9587/10459/9918/23310/64151/54892/23397/29781/10403/286053/83540/4926/55795/5347/5518/56984/5885/10592/10051/147841/57405/54908/7156/7175/7272/11065/7517/7756/11130",50
